[natural_language_lsp]2024/04/25 22:53:38 main.go:15: Empecé y eso
[natural_language_lsp]2024/04/25 22:53:38 main.go:45: Connectado a: Neovim 0.9.5
[natural_language_lsp]2024/04/25 22:53:38 main.go:56: Respuesta enviada
[natural_language_lsp]2024/04/25 23:53:32 main.go:68: textDocument/didOpen: file:///home/rodrigo/Proyectos/natural_language_lsp/readme.md
[natural_language_lsp]2024/04/25 23:53:41 main.go:68: textDocument/didOpen: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:43 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:43 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:43 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:44 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:46 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:48 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:48 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:50 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:53:52 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:04 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:04 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:05 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:05 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:05 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:05 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:06 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:06 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:06 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:06 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
[natural_language_lsp]2024/04/25 23:54:06 main.go:79: Changed: file:///home/rodrigo/Proyectos/natural_language_lsp/README.md
